Block,Variable,Code,Type,Unit,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fiscal,Import duty,IMP_DUTY,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,72876207.48622222,76313771.56,92791578.98,100334381.8,107027798.01,91054110.35000001,108974991,116169148,154082799,168875350
Fiscal,Import sales tax,IMP_SALES,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Domestic sales tax,DOM_SALES,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,30169792.81,24111207.26888888,30611801.50222222,44473234.69555555,74939155.66999999,71704627.76,66794410.31,80977902.92,102123040.2,102021110.51
Fiscal,Excise tax,EXCISE,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,PIT,PIT,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,1877378.26529,2342935.1187,3408976.1178,8540991.22734,11560591.95489,15992695.5804,15631468.091019,18475618.27319999,24140173.662,35808968.18664
Fiscal,CIT,CIT,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,18963.41682111111,23666.0113,34434.1022,86272.63866000001,116773.65611,161542.3796,157893.617081,186622.4068,243840.138,361706.7493600001
Fiscal,Stamp tax,STAMP,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Vehicle tax,VEH_TAX,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Registration tax,REG_TAX,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Road tax,ROAD_TAX,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Other taxes,OTHER_TAX,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,4537712.922777777,7005122.93991111,6894323.405033332,7906874.860444444,11078646.49141111,11027256.94795556,14573147.52577778,14081787.92064444,7550125.636133333,10297946.629954
Fiscal,Non-tax revenue,NONTAX,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,30169792.81,24111207.26888888,30611801.50222222,44473234.69555555,74939155.66999999,71704627.76,66794410.31,80977902.92,102185217.81,102589874.9
Fiscal,Grants,GRANTS,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,26949145.42,55301548.68,105612544.32,121701143.96,111583887.14,285493116.52,146975019.35,459241797.28,408531180.23,543361926.93
Fiscal,Compensation of employees,WAGES,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,55406893.01,79314010.46000001,128760537.55,143079564.36,162857697.6,227014247.14,250099403.53,259578811.39,292244712.14,341574738.3200001
Fiscal,Goods and services expenditure,GDS_SERV_EXP,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,62169799.97533333,74667648.38666667,87764661.54,89513392.74661689,105952284.9380582,80687430.29222356,106055549.263252,140670110.9266666,138201058.56,204503360.8718
Fiscal,Transfers,TRANSFERS,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,13839502.88111111,9416649.290000001,23397523.41,58352843.34,48494146.83,80283380.81999998,45850522.89,111242917.45,126273305.11,160338802.39
Fiscal,Interest payments,INT_PAY,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,4000000,6000000,9000000,12000000,14444846.36,14605117.63,12690618.19,13198206.75,7503730.870000001
Fiscal,Capital expenditure,CAPEX,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,147500,1558724.5,1185433.33,960959.45,1232573.16,18560275.55,16103418.26,13200987.96,14407773.01,28519394.43
Fiscal,Other expenditure,OTHER_EXP,Collect,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,2596886.42,2059408.7,4010343.38,4106724.67,412140.25,923442.86,2069069.26,4635963.71,10387356.24,23273946.17
Fiscal,Domestic financing,DOM_FIN,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,External financing,EXT_FIN,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Government debt,GOV_DEBT,Collect,USD,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Fiscal,Tax revenue,TAXREV,Compute,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,109480054.9011111,109796702.8988,133741114.1072556,161341755.222,204722965.7824111,189940233.0179555,206131910.5438778,229891079.5206445,288139978.6361334,317365082.075954
Fiscal,Total revenue,REV,Compute,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,111000000000000000,145000000000000000,139649847.7111111,133907910.1676889,164352915.6094778,205814989.9175556,279662121.4524111,261644860.7779555,272926320.8538778,310868982.4406444,390325196.4461334,419954956.9759541
Fiscal,Total revenue and grants,REV_GRANTS,Compute,USD,CBS,,,,,,,,,,,,,,,,,,,,,,,,,,166598993.1311111,189209458.8476889,269965459.9294778,327516133.8775556,391246008.5924111,547137977.2979555,419901340.2038778,770110779.7206445,798856376.6761334,963316883.905954
