Block,Variable,Code,Type,Unit,Source,Year,Value
Real,Nominal GDP,NGDP,Collect,USD,CBS,1990,1031282081.1668346
Real,Nominal GDP,NGDP,Collect,USD,CBS,1991,717974929.7631578
Real,Nominal GDP,NGDP,Collect,USD,CBS,1992,709297578.5
Real,Nominal GDP,NGDP,Collect,USD,CBS,1993,1260132955.787459
Real,Nominal GDP,NGDP,Collect,USD,CBS,1994,1481205097.9811323
Real,Nominal GDP,NGDP,Collect,USD,CBS,1995,1534756134.5502186
Real,Nominal GDP,NGDP,Collect,USD,CBS,1996,1792234297.391936
Real,Nominal GDP,NGDP,Collect,USD,CBS,1997,2191749013.581238
Real,Nominal GDP,NGDP,Collect,USD,CBS,1998,2962047564.4165072
Real,Nominal GDP,NGDP,Collect,USD,CBS,1999,3045751527.660048
Real,Nominal GDP,NGDP,Collect,USD,CBS,2000,3412797450.201118
Real,Nominal GDP,NGDP,Collect,USD,CBS,2001,2252847464.6860847
Real,Nominal GDP,NGDP,Collect,USD,CBS,2002,2192684134.5927277
Real,Nominal GDP,NGDP,Collect,USD,CBS,2003,2836724351.561596
Real,Nominal GDP,NGDP,Collect,USD,CBS,2004,3859592813.1025543
Real,Nominal GDP,NGDP,Collect,USD,CBS,2005,4683246454.100484
Real,Nominal GDP,NGDP,Collect,USD,CBS,2006,5026743282.042513
Real,Nominal GDP,NGDP,Collect,USD,CBS,2007,5430713728.89074
Real,Nominal GDP,NGDP,Collect,USD,CBS,2008,5913620292.905734
Real,Nominal GDP,NGDP,Collect,USD,CBS,2009,2948594552.4495163
Real,Nominal GDP,NGDP,Collect,USD,CBS,2010,2687807003.73935
Real,Nominal GDP,NGDP,Collect,USD,CBS,2011,2906000096.932491
Real,Nominal GDP,NGDP,Collect,USD,CBS,2012,4364670159.995777
Real,Nominal GDP,NGDP,Collect,USD,CBS,2013,5062881600.001038
Real,Nominal GDP,NGDP,Collect,USD,CBS,2014,5728399719.999584
Real,Nominal GDP,NGDP,Collect,USD,CBS,2015,6152149099.999415
Real,Nominal GDP,NGDP,Collect,USD,CBS,2016,6613743069.999124
Real,Nominal GDP,NGDP,Collect,USD,CBS,2017,7621501710.001204
Real,Nominal GDP,NGDP,Collect,USD,CBS,2018,7873000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2019,8656000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2020,8628000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2021,9483000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2022,10203000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2023,10958000000
Real,Nominal GDP,NGDP,Collect,USD,CBS,2024,11967000000
Real,Real GDP,RGDP,Collect,USD,CBS,1990,1837281328.3016276
Real,Real GDP,RGDP,Collect,USD,CBS,1991,1891491615.5031128
Real,Real GDP,RGDP,Collect,USD,CBS,1992,1730935688.5585237
Real,Real GDP,RGDP,Collect,USD,CBS,1993,1800010346.159156
Real,Real GDP,RGDP,Collect,USD,CBS,1994,1478762688.889167
Real,Real GDP,RGDP,Collect,USD,CBS,1995,1537774139.7940428
Real,Real GDP,RGDP,Collect,USD,CBS,1996,1661503678.5180218
Real,Real GDP,RGDP,Collect,USD,CBS,1997,1681117593.9700406
Real,Real GDP,RGDP,Collect,USD,CBS,1998,1791844290.8819463
Real,Real GDP,RGDP,Collect,USD,CBS,1999,1922976751.0585723
Real,Real GDP,RGDP,Collect,USD,CBS,2000,2059706442.1926818
Real,Real GDP,RGDP,Collect,USD,CBS,2001,2206158044.1253147
Real,Real GDP,RGDP,Collect,USD,CBS,2002,2374493799.8039145
Real,Real GDP,RGDP,Collect,USD,CBS,2003,2555674023.5943284
Real,Real GDP,RGDP,Collect,USD,CBS,2004,2737390479.443584
Real,Real GDP,RGDP,Collect,USD,CBS,2005,2932027546.4602003
Real,Real GDP,RGDP,Collect,USD,CBS,2006,3122209723.107455
Real,Real GDP,RGDP,Collect,USD,CBS,2007,3331221429.826634
Real,Real GDP,RGDP,Collect,USD,CBS,2008,3554225115.7657537
Real,Real GDP,RGDP,Collect,USD,CBS,2009,3792157453.2422237
Real,Real GDP,RGDP,Collect,USD,CBS,2010,4046017818.7335653
Real,Real GDP,RGDP,Collect,USD,CBS,2011,4316872490.494444
Real,Real GDP,RGDP,Collect,USD,CBS,2012,4605859127.184689
Real,Real GDP,RGDP,Collect,USD,CBS,2013,5110628982.787013
Real,Real GDP,RGDP,Collect,USD,CBS,2014,5569461554.681685
Real,Real GDP,RGDP,Collect,USD,CBS,2015,6152149099.999415
Real,Real GDP,RGDP,Collect,USD,CBS,2016,6584944951.37229
Real,Real GDP,RGDP,Collect,USD,CBS,2017,7555288980.077212
Real,Real GDP,RGDP,Collect,USD,CBS,2018,7710498420.373012
Real,Real GDP,RGDP,Collect,USD,CBS,2019,7926418061.751352
Real,Real GDP,RGDP,Collect,USD,CBS,2020,7707287719.385974
Real,Real GDP,RGDP,Collect,USD,CBS,2021,7972973226.063412
Real,Real GDP,RGDP,Collect,USD,CBS,2022,8189695542.688511
Real,Real GDP,RGDP,Collect,USD,CBS,2023,8531635197.808113
